temperature_c,pressure_bar,vibration_hz,timestamp,quality_status,batch_id
74.97,109.87,45.68,2025-01-01 00:00:00,Approved,BATCH-6574
68.62,117.83,49.84,2025-01-01 00:15:00,Approved,BATCH-5392
76.48,108.11,50.09,2025-01-01 00:30:00,Approved,BATCH-9732
85.23,115.38,52.36,2025-01-01 00:45:00,Approved,BATCH-3599
67.66,91.6,43.17,2025-01-01 01:00:00,Approved,BATCH-8540
67.66,123.2,52.96,2025-01-01 01:15:00,Approved,BATCH-7286
85.79,120.02,36.48,2025-01-01 01:30:00,Approved,BATCH-3161
77.67,107.74,46.85,2025-01-01 01:45:00,Approved,BATCH-7276
65.31,129.89,47.56,2025-01-01 02:00:00,Approved,BATCH-8098
75.43,134.06,53.17,2025-01-01 02:15:00,Approved,BATCH-8968
65.37,95.89,50.11,2025-01-01 02:30:00,Approved,BATCH-3050
65.34,108.56,42.97,2025-01-01 02:45:00,Approved,BATCH-5458
72.42,108.46,45.08,2025-01-01 03:00:00,Approved,BATCH-8043
50.87,105.9,50.99,2025-01-01 03:15:00,Approved,BATCH-4589
52.75,132.44,49.6,2025-01-01 03:30:00,Approved,BATCH-4042
64.38,117.09,47.1,2025-01-01 03:45:00,Approved,BATCH-5216
59.87,116.03,47.6,2025-01-01 04:00:00,Approved,BATCH-6836
73.14,89.94,53.48,2025-01-01 04:15:00,Defective (Low Pressure),BATCH-1569
60.92,129.53,47.41,2025-01-01 04:30:00,Approved,BATCH-8781
55.88,101.41,49.56,2025-01-01 04:45:00,Approved,BATCH-1277
84.66,120.9,60.85,2025-01-01 05:00:00,Approved,BATCH-4895
67.74,124.16,42.88,2025-01-01 05:15:00,Approved,BATCH-8600
70.68,140.41,40.74,2025-01-01 05:30:00,Approved,BATCH-1559
55.75,100.37,53.92,2025-01-01 05:45:00,Approved,BATCH-3676
64.56,74.71,46.61,2025-01-01 06:00:00,Defective (Low Pressure),BATCH-1171
71.11,122.76,48.41,2025-01-01 06:15:00,Approved,BATCH-2144
58.49,147.01,46.09,2025-01-01 06:30:00,Approved,BATCH-2108
73.76,138.58,48.7,2025-01-01 06:45:00,Approved,BATCH-6439
63.99,123.14,57.99,2025-01-01 07:00:00,Approved,BATCH-7474
67.08,112.63,54.01,2025-01-01 07:15:00,Approved,BATCH-1640
63.98,132.11,54.31,2025-01-01 07:30:00,Approved,BATCH-7056
88.52,105.4,42.92,2025-01-01 07:45:00,Approved,BATCH-8871
69.87,127.15,44.24,2025-01-01 08:00:00,Approved,BATCH-7399
59.42,127.58,35.8,2025-01-01 08:15:00,Approved,BATCH-2078
78.23,135.9,45.95,2025-01-01 08:30:00,Approved,BATCH-8608
57.79,161.39,54.78,2025-01-01 08:45:00,Approved,BATCH-1025
72.09,125.89,52.58,2025-01-01 09:00:00,Approved,BATCH-3222
50.4,112.37,48.89,2025-01-01 09:15:00,Approved,BATCH-7857
56.72,119.62,49.89,2025-01-01 09:30:00,Approved,BATCH-5124
71.97,93.46,46.56,2025-01-01 09:45:00,Approved,BATCH-1429
77.38,109.58,51.02,2025-01-01 10:00:00,Approved,BATCH-9114
71.71,113.86,53.83,2025-01-01 10:15:00,Approved,BATCH-4767
